method,documents,complete_gold_pio_rate,complete_predicted_pio_rate,complete_relaxed_correct_pio_rate,complete_exact_correct_pio_rate,mean_pio_f1
cluster_kmeans,184,0.967391304347826,0.4891304347826087,0.08152173913043478,0.0,0.3527414130829339
llm_dynamic_1_shot,184,0.967391304347826,0.9619565217391305,0.11956521739130435,0.0,0.501902647951854
llm_dynamic_2_shot,184,0.967391304347826,0.9565217391304348,0.15760869565217392,0.0,0.48133998608350625
llm_dynamic_3_shot,184,0.967391304347826,0.9945652173913043,0.10869565217391304,0.0,0.47143510282449896
llm_dynamic_4_shot,184,0.967391304347826,0.9782608695652174,0.07065217391304347,0.0,0.4395323002884728
llm_dynamic_5_shot,184,0.967391304347826,0.9945652173913043,0.06521739130434782,0.0,0.43627073392129967
llm_zero_shot,184,0.967391304347826,0.9130434782608695,0.043478260869565216,0.0,0.3975051639127093
ml_decomposed,184,0.967391304347826,0.9293478260869565,0.0,0.0,0.2361800261849454
ml_end_to_end,184,0.967391304347826,0.9130434782608695,0.0,0.0,0.2347479998462918
